"Code";"fonction";"activite"
301338;"Commercial, région PACA et corse";"Vente et développement"
106730;"technicien helpdesk";"dépanner les utilisateurs en informatique"
102413;"Customer Support and Accident Manager";"Support Client, Gestion de Sinistre"
106246;"Analyste de recherche pour un fond d'investissement en private equity specialisé dans le secteur de l environnement et de l investissement responsable d impact positif sur l environnement";"Business developpement et analyse d'investissement"
106781;"Licensee Planner Assistant";
345482;"Worked for Zalando SE in Berlin for 6 months as Brand Manager and now looking for a PhD";"Looking for a PhD position in Germany"
106621;"Acheuteuse travaux sud est";"Achats"
102475;"Operation Manager";"Gestion des opérations & équipes"
306017;"Acheteur";"Achats, sourcing, audit des fournisseurs"
103568;"Technicien Bancaire";"Rédaction Contrat Bancaire"
234529;"Assistante technico-commerciale";"Prospection de nouveaux clients"
102405;"COMMERCIALE GROUPE & SEMINAIRE";"COMMERCIALE"
101664;"Chef de projet social média";
103481;"Community Manager";"Stratégie sociale media et gestion des communautés."
106663;"Acheteur";"Gestion documentaire / approvisionnement / sourcing"
105438;"Consultant achats";"Achats"
104320;"Coordinateur logistique";"Logistique"
103659;"Responsable d'Activité";"Développement Commercial et Management"
105831;"Chef d'entreprise";"Commercialisation, gestion des achats, gestion de la production"
328865;"Ingénieur d'Affaires";"Vente"
104796;"Digital marketeur/ BD";"marketing"
305121;"Conseiller pour les pros";"Vanquier"
103724;"Consultante Marketing";"Marketing digital"
103304;"Je pratique pendant 1 ou 2 ans une sorte de Permis Vacances Travail en Russie (cette formule n'existe pas dans ce pays) en me débrouillant seul pour l'hébergement et le travail itinérants. J'utilise principalement le site WORKAWAY et suis embauché essenti";"développement site internet, travail manuel"
339960;"Guru";
339956;"Manager";"Project manager"
100502;"Fixed Income / IRS / FX eTrading Business Analyst";"Electronic Trading Onboarding & MIS for Fixed Income, IRS and FX products"
345246;"Classement tarifaire";
104614;"Cashcow Manager and Print Specialist";
259208;"Project Management Officer";"Gestion de projet"
350063;"Operations";"Retail Operations"
306720;"Strategy Consultant";"PMO"
345234;;"Reporting"
350054;"Director Comercial";"Ventas y desarrollo"
312398;"Traductions et community management";"Marketing et communications"
100253;"Sales representative";"commerciale"
315584;"Chef de Projet Acquisition Digitale";
102499;"Gérant";"production et transformation d'agrumes"
100998;"Technicien projets / formateur";"Paramétrage logiciel / formation"
102775;"Acheteuse Junior Prestations Industrielles et Techniques";"Achats"
100126;"Client Relationship Management Support Officer";
102266;"Chargée de Mission Formation";"Développement de programmes de formation"
106125;"Assistante chef de projet";"Chargée de projet Relation Clients"
100071;"Contrôleur de gestion";
321174;"Commercial itinérant";"Account manager"
204053;"Acheteuse";"Acheter en chine"
103320;"Gestionnaire de contrats";"En charge du suivi et de gestion opérationnelle logistique"
309945;"Chef de produit";"Gestion de projet"
105612;"Analyst";"Analyse et création de macro d'investissement"
102806;"Portfolio Manager Assistant";"Analyse / Gestion d'actifs"
102384;"analyste stocks";"entretenir la relation avec les editeurs groupes et hors groupe et assurer la fiabilite des donnees des stocks sur les outils erp et wms"
106601;"Conseiller de Clientèle Privée";"Banque de Particuliers"
106750;"Conseiller clientèle professionnel";
104453;"Chef de Produit Marketing";"Marketing Opérationnel"
105423;"Analyste Financier";"Production reporting réglementaire"
100548;"Chargé de développement retail";"Développement de la société / commercial"
102839;"Consultante junior";"Conseil"
102886;"Assistante chef de produits";"Marketing - Communication"
107425;"Customer care consultant";
105503;"Assistante Media Digital";"Digital Marketing"
100625;"Responsable développement et stratégie retail";"Ouverture de point de vente"
104569;"Assistant de direction";"Achat"
104371;"Responsable Trade Marketing France";"Trade Marketing, Merchandising, PLV, Salons, Events..."
204391;"Fondatrice";"Marketing digital"
258237;"Account Manager SEA";"Référencement payant"
102185;"CHEF DE PUBLICITE";"ESTIMATIONS ET BILANS DE CAMPAGNES PUBLICITAIRES"
101244;"chargée de clientèle particulier";"conseillère"
334891;"Marketing coordinator";"Gestion de projet"
105459;"Chef de secteur";"Commercial"
102037;"Community Manager";
106384;"Conseiller en patrimoine";"Conseil financier"
101734;"Contrôleur de gestion immobilier";"Contrôle de gestion : analyse de rentabilité"
105858;"Chargée de Partenariats Médias";
101757;"Chargé d'Affaires Partenariat";"Marketing"
103789;"On air promotion";"Mediaplanning - Bandes annonces"
204420;"Responsable d'entrepôt sous traité";"Tout faire pour livrer la marchandise aux magasins en temps et en heure"
204855;"Chargée de projets marketing";"gestion de projets et activités marketing"
102058;"Marketing Coordinator EMEA";"Campagnes Marketing EMEA"
100911;"Charge d'affaires";"Commerciale"
106248;"Chargé de communication";
103917;"Business and financial controller";
104750;"Consultante achats";"Missions de conseils"
101442;"Assistant emarketing direct";"gestion de campagne emailing"
306599;"Demand generation executive";"prospection / apporteur d'affaires"
306305;"Consultante Transport Marketing et Nouvelles technologies";"Assistante à maîtrise d'ouvrage"
331406;"Chargée d'études média";"Etude et planning média"
267172;"Chef de projet";"Gestion de projets de communication"
101427;"Chef de projet logistique";
102582;"Assistante chef de projet formation";"Événementiel"
104922;"Moniteur d'équitation";"Moniteur d'équitation"
105471;"Auditeur financier";"Audit"
105862;"Directeur";"Commerce, achat, logistique, rh"
107690;"Acheteur IT";"Conseil en achat indirect"
103951;"Account Manager";"Publicité en ligne"
106765;"createur";"commerce"
102196;"Acheteur";"Acheter des produits en Chine et aux Etats-Unis pour être vendus sur le marché français"
220955;"Traffic Manager";
300352;"Community Manager";"Animation des réseaux sociaux, création des newsletters, création du nouveau site internet, création des PLV, SAV."
102497;"Conseiller patrimonial et financier";"Conseille en placements financiers, épargne et prévoyance, immobilier"
101216;"Chargée d'achats";"Commodity Buyer Audit & Consultancy pour Renault-Nissan Purchasing Organization (RNPO)"
103432;"Chargée de recrutement";"Recruter"
103755;"Consultante en gestion de patrimoine";"Conseil en patrimoine"
105111;"Comptable - Fiscaliste";
305363;"Chef de projet web";"gestion de projet et relation client"
307451;"Chargé de comptes";"Conseil-relation commerciale"
105607;"Contrôleur de gestion";"Suivi budgétaire prévision analyse des écarts"
306843;"Managing Director";
101647;"Auto-entrepreneur";"Conseil et création en identités visuelles et web design"
104404;"Media Planner";"Gestion et optimisation de campagnes publicitaire TV"
257431;"Conseiller carriere";
305585;"Banquier Privé junior";"Gestion de portefeuilles d'actifs financier"
105802;"Assistante commerciale";"Administration des ventes,"
103959;"Chargée de Ressources Humaines";
101982;"Contrôleur de gestion";
100407;"responsable du développement commercial";"Commercial"
103016;"Junior Manager MYDMC";"Promotion du tourisme de luxe en France et Azerbaïdjan"
105954;"Project management Officer";"portfolio management / controle de gestion"
101356;"Conseiller en Gestion de Patrimoine";"Conseil patrimoine"
102180;"Chargé d'études financières";"Gestion d'actifs"
104717;"Responsable en assurance de personne";"Souscriptrice"
101518;"Chargée de Mission Evénements et Relations Publiques";"Organisation d'Evénements"
106239;"Responsable de secteur";"Développement portefeuille client"
102422;"Trader média";"trader Média"
105639;"Contrôleur de gestion";"Suivi frais fixes/frais variables/amortissements/provisions"
102230;"Assistant de gestion OPCVM";"Analyse financière, stratégie d'investissement sur marchés financiers, autres concernant la gestion de notre gamme de 8 fcp"
103784;"Coordinatrice transport";"Gestion B2B, B2C"
103736;"Chargé de développement commercial";"Gestion des grands comptes entreprises de la banque"
102381;"Sales manager";"Prospection commerciale"
200086;"Assistante chef de projet RH";
102802;"Commerciale Export Europe";"Prospection, création de réseau de distribution, gestion de comptes"
104288;"Chargée de Mobilité Internationale";"Dossiers de mobilité internationale"
104918;"Customer demand planer";"Prevision des ventes"
103745;"Consultant Logistique";"Création d'un département export"
102192;"Conseiller Patrimonial";"Gestion de patrimoine"
106420;"Conseiller clientele des professionnels";"Banquier et assureur"
105153;"Assistante Export et ADV";"Export"
105696;"Vendeuse";"Vendre"
104959;"Acheteur";"Gestion des contrats et des marchés"
103830;"Chargée de projets";"Animation d'un groupement d'experts-comptables et CAC"
104642;"Data Management Analyst";"Collecter, modifier, analyser et communiquer les donnees entreprise. Creation de modeles statistiques pour des analyses predictives."
